id,hand_player,bot_card_high,bot_card_suit_high,bot_card_medium,bot_card_suit_medium,bot_card_low,bot_card_suit_low,human_card_high,human_card_suit_high,human_card_medium,human_card_suit_medium,human_card_low,human_card_suit_low,bot_play_1,human_play_1,bot_play_2,human_play_2,bot_play_3,human_play_3,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,bot_points_envido,human_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,bot_points_flor,human_flor_points,who_won_flor,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,bot_old_points,human_old_points,bot_new_points,human_new_points,bot_hand_balance,human_hand_balance,bot_hand_quality,human_hand_quality
1,2,52,ESPADAS,8,COPAS,2,OURO,50,BASTOS,16,BASTOS,16,BASTOS,52,16,2,16,-15,1,1,2,-130,1,0,0,5,2,2,1,1,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,2,0,3,1,1,1,62,82
2,1,24,OURO,16,COPAS,4,ESPADAS,7,COPAS,6,COPAS,4,COPAS,16,4,4,7,-46,6,1,2,1,1,0,0,29,7,2,1,1,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,3,1,5,1,2,0,44,17
3,2,12,OURO,8,COPAS,4,BASTOS,42,COPAS,16,ESPADAS,1,ESPADAS,4,1,8,16,-15,1,1,2,-130,2,0,1,27,7,0,2,5,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,5,1,5,7,0,6,24,59
4,1,24,ESPADAS,4,COPAS,1,COPAS,24,COPAS,8,OURO,6,OURO,24,6,1,8,-15,1,1,2,-130,1,0,0,31,3,2,1,1,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,5,7,6,8,1,1,29,38
5,2,50,BASTOS,12,ESPADAS,3,BASTOS,7,COPAS,6,ESPADAS,4,ESPADAS,12,4,3,6,-46,7,1,2,1,2,0,0,6,7,1,2,1,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,6,8,7,9,1,1,65,17
6,1,16,OURO,16,COPAS,2,OURO,40,ESPADAS,6,OURO,1,OURO,16,1,2,6,-10,40,-10,2,2,2,0,0,5,31,1,2,1,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,7,9,7,12,0,3,34,47
7,2,24,ESPADAS,2,OURO,1,ESPADAS,24,OURO,7,OURO,2,OURO,24,2,1,7,-15,1,1,2,-130,1,0,0,29,5,2,1,1,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,7,12,8,13,1,1,27,33
8,1,16,BASTOS,6,BASTOS,3,OURO,12,COPAS,6,OURO,3,OURO,6,12,16,3,3,6,2,1,2,1,0,0,6,27,2,1,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,8,13,9,14,1,1,25,21
9,2,16,ESPADAS,8,COPAS,7,BASTOS,4,ESPADAS,3,BASTOS,2,BASTOS,7,2,8,3,-46,NULL,1,1,1,0,0,0,22,38,0,0,0,2,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,9,14,10,17,1,3,31,9
10,1,7,COPAS,4,OURO,3,OURO,16,COPAS,12,COPAS,6,COPAS,7,12,-10,6,-10,0,2,2,2,1,0,0,27,2,2,1,1,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,10,17,11,18,1,1,14,34
