,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
0,1,2,52,1,8,3,2,2,50,4,16,4,16,4,11,9,9.0,9.0,8,1.0,1,2,-130,1,0,0,5,2,2,1,1,0.0,0.0,0.0,2,2,0,0,0,0,1,2,1,2,0,3,1,1,1,62,82
1,2,1,24,2,16,3,4,1,7,3,6,3,4,3,10,9,9.0,11.0,8,10.0,1,2,1,1,0,0,29,7,2,1,1,0.0,0.0,0.0,1,3,0,0,0,0,2,1,1,3,1,5,1,2,0,44,17
2,3,2,12,2,8,3,4,4,42,3,16,1,1,1,9,9,10.0,10.0,8,9.0,1,2,-130,2,0,1,27,7,0,2,5,0.0,0.0,0.0,2,2,0,0,0,0,1,2,1,5,1,5,7,0,6,24,59
3,4,1,24,1,4,3,1,3,24,3,8,2,6,2,11,9,9.0,10.0,8,1.0,1,2,-130,1,0,0,31,3,2,1,1,0.0,0.0,0.0,2,2,0,0,0,0,1,2,1,5,7,6,8,1,1,29,38
4,5,2,50,4,12,1,3,4,7,3,6,1,4,1,10,9,9.0,10.0,8,11.0,1,2,1,2,0,0,6,7,1,2,1,0.0,0.0,0.0,1,3,0,0,0,0,2,1,1,6,8,7,9,1,1,65,17
5,6,1,16,2,16,3,2,2,40,1,6,2,1,2,10,9,9.0,10.0,8,11.0,-10,2,2,2,0,0,5,31,1,2,1,0.0,0.0,0.0,2,2,0,0,0,0,0,2,2,7,9,7,12,0,3,34,47
6,7,2,24,1,2,2,1,1,24,2,7,2,2,2,11,9,9.0,10.0,8,1.0,1,2,-130,1,0,0,29,5,2,1,1,0.0,0.0,0.0,2,2,0,0,0,0,1,2,1,7,12,8,13,1,1,27,33
7,8,1,16,4,6,4,3,2,12,3,6,2,3,2,10,11,11.0,9.0,9,10.0,2,1,2,1,0,0,6,27,2,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1,8,13,9,14,1,1,25,21
8,9,2,16,1,8,3,7,4,4,1,3,4,2,4,9,9,10.0,10.0,8,,1,1,1,0,0,0,22,38,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,1,9,14,10,17,1,3,31,9
9,10,1,7,3,4,2,3,2,16,3,12,3,6,3,11,10,8.0,9.0,8,0.0,2,2,2,1,0,0,27,2,2,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1,10,17,11,18,1,1,14,34
