,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
7,8,1,16,4,6,4,3,2,12,3,6,2,3,2,10,11,11.0,9.0,9,10.0,2,1,2,1,0,0,6,27,2,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1,8,13,9,14,1,1,25,21
27,28,2,52,1,50,4,7,3,24,4,6,4,2,4,10,9,9.0,11.0,11,10.0,1,2,1,0,0,0,21,5,0,0,0,0.0,0.0,0.0,1,1,2,2,1,3,0,1,4,14,14,18,14,4,0,109,32
29,30,2,50,4,4,3,3,4,52,4,16,1,2,1,9,9,10.0,10.0,11,11.0,1,2,2,2,0,0,28,5,0,1,2,0.0,0.0,0.0,2,2,1,2,2,2,0,2,4,19,15,21,19,2,4,57,70
31,32,2,52,1,24,3,2,2,12,2,7,3,3,3,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,5,6,1,2,1,0.0,0.0,0.0,1,3,0,0,0,0,0,1,2,0,2,2,3,2,1,78,22
39,40,1,42,1,8,2,2,2,12,3,7,3,6,3,9,9,11.0,11.0,10,10.0,2,1,1,0,0,0,7,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,9,13,10,13,1,0,52,25
40,41,2,24,2,8,3,7,1,42,4,6,1,2,1,9,9,10.0,11.0,11,10.0,1,2,1,0,0,0,3,32,0,0,0,0.0,0.0,0.0,1,3,0,0,0,0,0,1,2,10,13,12,13,2,0,39,50
43,44,1,24,2,7,4,3,3,42,4,8,1,3,1,11,11,10.0,9.0,9,10.0,2,1,2,2,0,0,26,7,1,2,1,0.0,0.0,0.0,1,2,0,0,0,0,0,2,2,14,14,14,17,0,3,34,53
45,46,1,12,2,7,4,6,3,16,4,4,3,3,3,11,11,9.0,9.0,10,10.0,2,1,1,2,0,0,20,35,1,2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,16,17,17,18,1,1,25,23
51,52,2,24,1,12,4,6,3,16,2,4,2,3,2,9,10,10.0,11.0,11,9.0,1,2,1,0,0,0,3,7,0,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,1,2,9,4,11,4,2,0,42,23
54,55,1,50,4,12,2,1,2,40,3,3,2,2,2,9,9,10.0,10.0,11,11.0,2,1,1,0,0,0,4,38,0,0,0,2.0,0.0,0.0,1,2,0,0,0,0,0,1,2,13,6,15,9,2,3,63,45
55,56,2,42,1,24,1,8,4,52,3,16,1,7,1,9,9,10.0,11.0,11,10.0,1,2,1,1,0,0,7,2,2,1,1,0.0,0.0,0.0,1,1,0,0,0,0,0,1,2,15,9,18,9,3,0,74,75
57,58,2,16,1,16,1,3,2,24,4,12,2,1,2,9,11,10.0,10.0,10,9.0,2,1,1,0,0,0,6,28,0,0,0,0.0,0.0,0.0,1,2,2,2,0,0,0,1,3,19,10,22,10,3,0,35,37
61,63,2,50,4,8,4,7,3,16,2,7,4,4,4,10,10,9.0,11.0,11,9.0,1,2,1,0,0,0,1,7,0,0,0,0.0,0.0,0.0,1,3,0,0,0,0,0,1,2,2,7,4,7,2,0,65,27
63,65,2,24,3,7,2,1,2,40,1,3,2,1,2,10,9,11.0,11.0,9,10.0,1,2,2,0,0,0,4,37,0,0,0,0.0,0.0,0.0,1,3,0,0,0,0,0,2,2,5,8,5,10,0,2,32,44
65,67,2,50,4,8,2,3,4,42,3,6,1,2,1,10,9,9.0,10.0,11,11.0,1,2,1,0,0,0,6,7,0,0,0,0.0,0.0,0.0,2,2,1,3,0,0,0,1,3,5,14,8,14,3,0,61,50
66,68,1,24,1,24,4,4,2,24,4,8,3,6,3,10,9,9.0,10.0,10,11.0,1,2,0,1,0,0,30,3,2,1,1,0.0,0.0,0.0,1,3,0,0,0,0,0,1,2,8,14,11,14,3,0,52,38
67,69,2,42,1,8,1,3,3,24,2,12,4,2,4,9,9,10.0,10.0,11,11.0,1,2,1,1,0,0,7,5,2,1,1,0.0,0.0,0.0,2,2,1,3,0,0,0,1,3,11,14,15,14,4,0,53,38
73,77,1,16,2,12,1,1,3,6,3,2,4,1,4,9,10,10.0,11.0,11,9.0,2,1,1,0,0,0,4,5,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,6,5,7,5,1,0,29,9
74,78,2,24,3,7,4,1,3,16,1,16,4,8,4,11,10,10.0,9.0,9,10.0,1,2,2,0,0,0,4,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1,7,5,7,6,0,1,32,40
76,80,2,16,4,7,3,2,1,40,1,8,2,1,2,9,9,10.0,10.0,11,11.0,1,2,2,0,0,0,5,7,0,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,2,2,10,8,10,10,0,2,25,49
77,81,1,50,4,3,4,3,3,16,1,12,2,6,2,9,9,11.0,11.0,9,10.0,2,1,2,0,0,0,6,2,0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,2,2,10,10,10,12,0,2,56,34
79,83,1,24,3,12,2,1,2,40,3,16,2,4,2,9,9,11.0,10.0,10,11.0,2,1,2,2,0,0,24,36,0,2,2,0.0,0.0,0.0,2,1,0,0,0,0,0,2,2,11,14,11,18,0,4,37,60
80,84,2,8,2,7,3,2,3,16,4,4,3,1,3,9,11,10.0,10.0,11,9.0,2,1,1,0,0,0,5,33,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,11,18,12,18,1,0,17,21
85,89,1,40,2,16,1,2,3,12,2,8,2,6,2,9,9,10.0,10.0,11,11.0,2,1,1,1,0,0,29,1,2,1,1,0.0,0.0,0.0,1,2,2,2,0,0,0,1,3,21,20,25,20,4,0,58,26
86,90,2,24,1,6,4,3,3,24,3,8,3,4,3,9,9,11.0,10.0,10,11.0,2,1,2,0,0,0,6,30,0,0,0,2.0,0.0,0.0,1,2,0,0,0,0,0,2,2,4,0,4,5,0,5,33,36
90,94,1,50,4,4,1,1,2,52,4,40,1,8,1,9,9,11.0,10.0,10,11.0,2,1,2,1,0,0,28,7,0,1,2,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1,3,2,5,3,2,1,55,100
104,108,1,16,3,6,1,6,2,16,2,12,2,3,2,9,9,9.0,10.0,11,11.0,1,2,0,2,0,0,2,29,1,2,1,0.0,0.0,0.0,2,2,0,0,0,0,0,1,2,18,21,20,22,2,1,28,31
105,110,2,40,2,8,1,7,2,16,1,6,1,4,1,9,9,10.0,11.0,11,10.0,1,2,1,0,0,0,20,7,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,2,0,1,2,1,2,0,55,26
109,114,2,16,2,7,1,3,1,24,4,7,1,6,1,9,9,11.0,10.0,10,11.0,2,1,2,0,0,0,6,23,0,0,0,2.0,0.0,0.0,1,2,2,3,1,3,0,2,4,5,3,5,10,0,7,26,37
115,120,2,16,4,12,1,7,4,50,2,7,4,3,4,9,9,10.0,11.0,11,10.0,1,2,1,1,0,0,2,27,2,1,1,0.0,0.0,0.0,1,1,2,2,0,0,0,1,3,14,15,18,15,4,0,35,60
119,124,2,12,2,12,1,3,3,16,3,3,4,2,4,9,9,10.0,11.0,10,10.0,1,2,1,2,0,0,6,6,1,2,1,0.0,0.0,0.0,1,1,2,2,0,0,0,1,3,23,16,26,17,3,1,27,21
121,126,1,24,2,7,2,3,3,24,2,16,1,8,1,9,9,11.0,10.0,10,11.0,2,1,2,0,0,0,29,3,0,0,0,1.0,0.0,0.0,2,1,0,0,0,0,0,2,2,1,3,4,5,3,2,34,48
127,132,1,16,2,1,3,1,2,52,2,12,1,3,1,9,9,11.0,10.0,9,11.0,2,1,2,1,0,0,26,6,0,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1,8,12,8,15,0,3,18,67
130,135,1,24,4,8,2,1,1,24,4,7,1,2,1,9,9,10.0,10.0,11,11.0,2,1,0,0,0,2,23,28,1,2,1,0.0,0.0,0.0,1,2,2,3,0,0,0,2,3,12,20,12,24,0,4,33,33
136,142,2,42,1,7,2,2,3,50,3,16,4,1,4,9,9,10.0,10.0,11,11.0,1,2,2,2,0,1,7,4,2,1,2,0.0,0.0,0.0,1,1,2,1,1,1,0,2,4,5,14,7,18,2,4,51,67
140,146,2,8,2,8,1,6,4,24,3,6,2,3,2,9,9,10.0,11.0,10,10.0,1,2,1,0,0,0,0,6,0,0,0,0.0,0.0,0.0,2,2,1,2,0,0,0,1,3,13,23,16,23,3,0,22,33
141,147,1,40,2,6,2,3,2,7,3,2,1,1,1,10,11,9.0,9.0,11,9.0,2,1,1,0,0,1,7,5,2,1,1,0.0,0.0,0.0,2,1,1,1,0,0,0,1,3,0,0,4,0,4,0,49,10
151,157,1,24,4,6,3,3,2,16,4,12,2,3,2,9,10,10.0,9.0,11,11.0,2,1,1,0,0,0,23,29,0,0,0,2.0,0.0,0.0,2,1,1,2,0,0,0,1,3,0,0,3,3,3,3,33,31
153,159,1,16,4,12,3,6,1,42,2,7,1,3,1,9,10,11.0,9.0,10,11.0,2,1,2,1,0,2,2,33,1,2,2,0.0,0.0,0.0,2,1,1,2,2,3,0,2,4,5,3,5,9,0,6,34,52
155,161,1,40,2,12,2,2,1,42,2,24,1,1,1,9,10,10.0,9.0,11,11.0,2,1,2,0,0,0,33,34,0,0,0,1.0,0.0,0.0,2,1,1,2,2,3,0,2,4,5,15,8,19,3,4,54,67
156,162,2,52,1,4,2,3,1,6,3,2,2,2,2,9,9,10.0,11.0,11,9.0,1,2,1,0,0,0,7,5,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,8,19,9,19,1,0,59,10
158,164,2,8,4,8,3,4,2,12,1,7,3,1,3,9,9,10.0,11.0,10,10.0,1,2,1,0,0,0,7,4,0,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,1,2,11,19,13,19,2,0,20,20
165,172,2,12,3,6,2,3,1,24,3,16,4,3,4,9,10,10.0,9.0,11,11.0,2,1,2,2,0,0,21,6,0,2,2,0.0,0.0,0.0,2,1,1,2,2,3,0,2,4,8,2,8,8,0,6,21,43
166,173,1,24,3,24,1,7,3,24,4,16,1,7,1,9,10,10.0,9.0,10,11.0,2,1,0,0,0,0,3,3,0,0,0,0.0,0.0,0.0,2,1,1,2,0,0,0,2,3,8,8,8,11,0,3,55,47
169,177,1,24,3,7,2,3,3,42,4,16,1,2,1,10,10,9.0,9.0,11,11.0,2,1,2,2,0,0,6,7,1,2,1,0.0,0.0,0.0,2,1,1,2,2,3,0,2,4,15,15,15,20,0,5,34,60
170,178,2,12,3,6,1,3,4,42,1,16,1,1,1,9,10,10.0,9.0,11,11.0,2,1,2,2,0,1,26,7,2,1,2,0.0,0.0,0.0,1,2,2,3,0,0,0,2,3,15,20,17,23,2,3,21,59
174,182,2,52,1,16,2,1,2,24,4,6,1,3,1,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,4,6,1,2,1,0.0,0.0,0.0,1,3,0,0,0,0,0,1,2,11,1,13,2,2,1,69,33
176,184,2,40,2,16,4,16,1,42,3,8,1,6,1,9,9,9.0,11.0,11,10.0,1,2,1,2,0,0,7,27,1,2,1,0.0,0.0,0.0,1,1,2,2,1,3,0,1,4,15,2,19,3,4,1,72,56
181,190,1,42,1,3,3,2,3,8,4,7,2,1,2,9,10,10.0,9.0,11,9.0,2,1,1,0,0,0,7,4,0,0,0,0.0,0.0,0.0,1,2,0,0,0,0,0,1,2,4,1,6,1,2,0,47,16
184,193,2,16,1,7,3,3,1,42,2,8,1,2,1,11,10,9.0,11.0,10,9.0,1,2,1,2,0,0,6,32,1,2,1,0.0,0.0,0.0,2,2,0,0,0,0,0,1,2,7,3,9,4,2,1,26,52
187,196,1,24,2,24,4,1,1,42,4,7,1,4,1,9,9,10.0,10.0,10,11.0,2,1,2,1,0,0,27,34,0,1,2,0.0,0.0,0.0,1,2,2,2,0,0,0,2,3,11,8,13,11,2,3,49,53
196,205,1,16,4,12,2,7,4,8,3,3,3,1,3,9,11,10.0,10.0,11,9.0,2,1,1,2,0,0,2,6,1,2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,10,3,11,4,1,1,35,12
198,207,1,24,4,7,3,7,3,24,1,12,1,1,1,9,10,9.0,9.0,11,11.0,2,1,0,0,0,0,3,4,0,0,0,0.0,0.0,0.0,1,2,2,3,0,0,0,2,3,12,4,12,7,0,3,38,37
208,218,2,40,2,6,4,3,2,12,1,7,3,2,3,9,11,11.0,10.0,10,9.0,2,1,1,2,0,0,7,5,1,2,1,0.0,0.0,0.0,1,2,2,3,0,0,0,1,3,5,14,8,15,3,1,49,21
213,223,1,24,2,7,2,2,1,40,3,8,2,6,2,9,9,11.0,10.0,10,11.0,2,1,2,1,0,2,5,7,0,1,5,0.0,0.0,0.0,2,3,0,0,0,0,0,2,2,13,20,18,22,5,2,33,54
215,225,2,40,2,8,3,4,1,52,4,42,1,1,1,9,9,10.0,10.0,11,11.0,1,2,2,2,0,1,7,32,0,2,5,0.0,0.0,0.0,2,2,0,0,0,0,0,2,2,0,2,0,9,0,7,52,95
217,227,2,24,1,7,2,2,4,24,2,8,3,1,3,9,9,10.0,10.0,11,11.0,1,2,0,1,0,0,25,4,2,1,1,0.0,0.0,0.0,2,2,0,0,0,0,0,1,2,1,10,4,10,3,0,33,33
