self_low_card,self_medium_card,self_high_card,opponent_round_0,self_round_0,opponent_round_1,self_round_1,self_round_2,opponent_round_2
8.0,16.0,24.0,9.0,9.0,9.0,9.0,,
8.0,16.0,24.0,9.0,9.0,9.0,9.0,,
8.0,16.0,24.0,9.0,9.0,9.0,9.0,,
8.0,16.0,24.0,9.0,9.0,9.0,9.0,,
8.0,16.0,24.0,9.0,9.0,9.0,9.0,,
8.0,16.0,24.0,9.0,9.0,9.0,9.0,,
8.0,16.0,24.0,9.0,9.0,9.0,9.0,,
6.0,7.0,40.0,9.0,9.0,9.0,9.0,,
6.0,7.0,40.0,9.0,9.0,9.0,9.0,,
6.0,7.0,40.0,9.0,9.0,9.0,9.0,,
6.0,7.0,40.0,9.0,9.0,9.0,9.0,,
6.0,7.0,40.0,9.0,9.0,9.0,9.0,,
6.0,7.0,40.0,9.0,9.0,9.0,9.0,,
6.0,7.0,40.0,9.0,9.0,9.0,9.0,,
1.0,3.0,16.0,10.0,9.0,,,,
1.0,3.0,16.0,10.0,9.0,,,,
1.0,3.0,16.0,10.0,9.0,,,,
1.0,3.0,16.0,10.0,9.0,,,,
1.0,3.0,16.0,10.0,9.0,,,,
12.0,24.0,42.0,9.0,10.0,,,,
12.0,24.0,42.0,9.0,10.0,,,,
12.0,24.0,42.0,9.0,10.0,,,,
12.0,24.0,42.0,9.0,10.0,,,,
12.0,24.0,42.0,9.0,10.0,,,,
7.0,24.0,40.0,9.0,10.0,,,,
7.0,24.0,40.0,9.0,10.0,,,,
7.0,24.0,40.0,9.0,10.0,,,,
7.0,24.0,40.0,9.0,10.0,,,,
7.0,24.0,40.0,9.0,10.0,,,,
,,,10.0,9.0,,,,
,,,10.0,9.0,,,,
3.0,16.0,24.0,9.0,10.0,,,,
3.0,16.0,24.0,9.0,10.0,,,,
3.0,16.0,24.0,9.0,10.0,,,,
3.0,16.0,24.0,9.0,10.0,,,,
3.0,16.0,24.0,9.0,10.0,,,,
2.0,7.0,24.0,9.0,9.0,,,,
2.0,7.0,24.0,9.0,9.0,,,,
2.0,7.0,24.0,9.0,9.0,,,,
2.0,7.0,24.0,9.0,9.0,,,,
2.0,7.0,24.0,9.0,9.0,,,,
,,,9.0,9.0,,,,
,,,9.0,9.0,,,,
1.0,12.0,40.0,11.0,10.0,,,,
1.0,12.0,40.0,11.0,10.0,,,,
1.0,12.0,40.0,11.0,10.0,,,,
1.0,12.0,40.0,11.0,10.0,,,,
1.0,12.0,40.0,11.0,10.0,,,,
,,,10.0,11.0,,,,
,,,10.0,11.0,,,,
3.0,3.0,8.0,9.0,9.0,,,,
3.0,3.0,8.0,9.0,9.0,,,,
3.0,3.0,8.0,9.0,9.0,,,,
3.0,3.0,8.0,9.0,9.0,,,,
3.0,3.0,8.0,9.0,9.0,,,,
,,,9.0,9.0,,,,
,,,9.0,9.0,,,,
,,,9.0,10.0,10.0,10.0,,
,,,9.0,10.0,10.0,10.0,,
,,,9.0,10.0,10.0,10.0,,
,,,9.0,10.0,10.0,10.0,,
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
6.0,12.0,24.0,10.0,9.0,10.0,10.0,11.0,11.0
,,,9.0,10.0,11.0,10.0,,
,,,9.0,10.0,11.0,10.0,,
,,,9.0,10.0,11.0,10.0,,
,,,9.0,10.0,11.0,10.0,,
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
3.0,7.0,52.0,10.0,9.0,10.0,11.0,11.0,11.0
,,,9.0,9.0,,,,
,,,9.0,9.0,,,,
2.0,3.0,52.0,9.0,9.0,,,,
2.0,3.0,52.0,9.0,9.0,,,,
2.0,3.0,52.0,9.0,9.0,,,,
2.0,3.0,52.0,9.0,9.0,,,,
2.0,3.0,52.0,9.0,9.0,,,,
6.0,7.0,8.0,10.0,9.0,,,,
6.0,7.0,8.0,10.0,9.0,,,,
6.0,7.0,8.0,10.0,9.0,,,,
6.0,7.0,8.0,10.0,9.0,,,,
6.0,7.0,8.0,10.0,9.0,,,,
,,,9.0,10.0,,,,
,,,9.0,10.0,,,,
1.0,6.0,7.0,,,,,,
1.0,6.0,7.0,,,,,,
1.0,6.0,7.0,,,,,,
,,,9.0,9.0,,,,
,,,9.0,9.0,,,,
